Value,Format,Metric,Year
,Other Ad-Supported Streaming,Value,1975
,Synchronization,Value,1975
,CD,Value (Adjusted),1975
,CD Single,Value (Adjusted),1975
450.1460223,Cassette,Value (Adjusted),1975
,Cassette Single,Value (Adjusted),1975
6765.858736,LP/EP,Value (Adjusted),1975
963.6223048,Vinyl Single,Value (Adjusted),1975
2656.226022,8 - Track,Value (Adjusted),1975
46.47256506,Other Tapes,Value (Adjusted),1975
,Music Video (Physical),Value (Adjusted),1975
,DVD Audio,Value (Adjusted),1975
,SACD,Value (Adjusted),1975
,Download Single,Value (Adjusted),1975
,Download Album,Value (Adjusted),1975
,Kiosk,Value (Adjusted),1975
,Download Music Video,Value (Adjusted),1975
,Ringtones & Ringbacks,Value (Adjusted),1975
,Other Digital,Value (Adjusted),1975
,Paid Subscription,Value (Adjusted),1975
,Limited Tier Paid Subscription,Value (Adjusted),1975
,SoundExchange Distributions,Value (Adjusted),1975
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1975
,Other Ad-Supported Streaming,Value (Adjusted),1975
,Synchronization,Value (Adjusted),1975
,CD,Units,1976
,CD Single,Units,1976
21.8,Cassette,Units,1976
,Cassette Single,Units,1976
273,LP/EP,Units,1976
190,Vinyl Single,Units,1976
106.1,8 - Track,Units,1976
0.7,Other Tapes,Units,1976
,Music Video (Physical),Units,1976
,DVD Audio,Units,1976
,SACD,Units,1976
,Download Single,Units,1976
,Download Album,Units,1976
,Kiosk,Units,1976
,Download Music Video,Units,1976
,Ringtones & Ringbacks,Units,1976
,,Units,1976
,Paid Subscriptions,Units,1976
,CD,Value,1976
,CD Single,Value,1976
145.7,Cassette,Value,1976
,Cassette Single,Value,1976
1663,LP/EP,Value,1976
245.1,Vinyl Single,Value,1976
678.2,8 - Track,Value,1976
5.1,Other Tapes,Value,1976
,Music Video (Physical),Value,1976
,DVD Audio,Value,1976
,SACD,Value,1976
,Download Single,Value,1976
,Download Album,Value,1976
,Kiosk,Value,1976
,Download Music Video,Value,1976
,Ringtones & Ringbacks,Value,1976
,Other Digital,Value,1976
,Paid Subscription,Value,1976
,Limited Tier Paid Subscription,Value,1976
,SoundExchange Distributions,Value,1976
,On-Demand Streaming (Ad-Supported),Value,1976
,Other Ad-Supported Streaming,Value,1976
,Synchronization,Value,1976
,CD,Value (Adjusted),1976
,CD Single,Value (Adjusted),1976
627.6622847,Cassette,Value (Adjusted),1976
,Cassette Single,Value (Adjusted),1976
